,turda,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,dephm,SOLID,Condi,Y house price of unit area
47,1603.242849929,35.9,640.7391,3,24.97563,121.53715,300.0,10930.05567,400.7061608,61.5
48,1606.032994877,24.2,4605.749,0,24.94684,121.49578,379.0,25993.71141,566.7547238,13.4
49,1603.888235227,29.4,4510.359,1,24.94925,121.49542,400.0,17909.36578,417.2873151,13.2
50,1604.881101138,21.7,512.5487,4,24.974,121.53842,500.0,26853.94949,375.5473617,44.2
51,1604.143224936,31.3,1758.406,1,24.95402,121.55282,565.0,19156.12313,506.7568077,20.7
52,1604.267189591,32.1,1438.579,3,24.97419,121.5175,600.0,29009.01082,463.4784249,27.0
53,1602.950360943,13.3,492.2313,5,24.96515,121.53737,700.0,22274.36837,492.1354893,38.9
54,1603.662563465,16.1,289.3248,5,24.98203,121.54348,800.0,40149.31656,355.5464203,51.7
55,1604.11748804,31.7,1160.632,0,24.94968,121.53009,840.0,16544.27559,278.7532038,13.7
56,1604.328026357,33.6,371.2495,8,24.97254,121.54059,900.0,42061.3228,503.1392455,41.9
57,1603.774600526,3.5,56.47425,7,24.95744,121.53711,1000.0,20574.36426,353.9275932,53.5
58,1604.604633154,30.3,4510.359,1,24.94925,121.49542,1100.0,8777.686784,596.8258366,22.6
59,1604.106543052,13.3,336.0532,5,24.95776,121.53438,1200.0,31085.08343,584.6043537,42.4
60,1605.068556189,11.0,1931.207,2,24.96365,121.51471,1203.0,42210.88524,410.6485372,21.3
61,1604.237643894,5.3,259.6607,6,24.97585,121.54516,0.0,21891.67716,379.2701222,63.2
62,1602.907387267,17.2,2175.877,3,24.96303,121.51254,10.0,37376.79299,343.7640131,27.7
63,1602.877062813,2.6,533.4762,4,24.97445,121.54765,20.0,23608.86224,526.4259147,55.0
64,1604.644211645,17.5,995.7554,0,24.96305,121.54915,22.0,19835.98077,596.0763683,25.3
65,1603.403136416,40.1,123.7429,8,24.97635,121.54329,30.0,41411.60171,509.7678877,44.3
66,1604.091205593,1.0,193.5845,6,24.96571,121.54089,38.0,45510.58432,420.124761,50.7
67,1603.912148351,8.5,104.8101,5,24.96674,121.54067,49.0,17264.84092,631.3042163,56.8
68,1604.286478967,30.4,464.223,6,24.97964,121.53805,50.0,29072.03812,467.2180731,36.2
69,1603.932804334,12.5,561.9845,5,24.98746,121.54391,55.0,25969.21512,461.8362776,42.0
